DATE,TimeFrame,ID,Was Click, X(Target), Y(Target), Z(Target) , X(Camera Rotation), Y(Camera Rotation), Z(Camera Rotation),Pitch ,Yaw,Number of shots,Hypotenuse_Cursor,Hypotenuse_Ball,DegreeError
7/24/2023 7:12:34 AM,55,0,False,-2.47,150.0,438.0,354.08,352.01,0.0,14.92,25.01,0.0,29.122268112219558,37.91215768061744,-8.789889568397882
7/24/2023 7:12:34 AM,56,0,False,-2.47,150.0,438.0,353.19,350.23,0.0,15.81,23.23,0.0,28.099626332035093,37.91215768061744,-9.812531348582347
7/24/2023 7:12:34 AM,57,0,False,-2.47,150.0,438.0,351.71,347.86,0.0,17.29,20.86,0.0,27.093979035940805,37.91215768061744,-10.818178644676635
7/24/2023 7:12:34 AM,58,0,False,-2.47,150.0,438.0,350.38,345.35,0.0,18.62,18.35,0.0,26.142434852170904,37.91215768061744,-11.769722828446536
7/24/2023 7:12:34 AM,59,0,False,-2.47,150.0,438.0,349.05,342.53,0.0,19.95,15.53,0.0,25.282076655211693,37.91215768061744,-12.630081025405747
7/24/2023 7:12:34 AM,60,0,False,-2.47,150.0,438.0,347.71,339.57,0.0,21.29,12.57,0.0,24.723854877425566,37.91215768061744,-13.188302803191874
7/24/2023 7:12:34 AM,61,0,False,-2.47,150.0,438.0,345.94,336.47,0.0,23.06,9.47,0.0,24.928788578669444,37.91215768061744,-12.983369101947996
7/24/2023 7:12:34 AM,62,0,False,-2.47,150.0,438.0,344.16,333.36,0.0,24.84,6.36,0.0,25.641279219258934,37.91215768061744,-12.270878461358507
7/24/2023 7:12:34 AM,63,0,False,-2.47,150.0,438.0,342.09,329.8,0.0,26.91,2.8,0.0,27.055278597715457,37.91215768061744,-10.856879082901983
7/24/2023 7:12:34 AM,64,0,False,-2.47,150.0,438.0,340.61,326.25,0.0,28.39,-0.75,0.0,28.399904929418337,37.91215768061744,-9.512252751199103
7/24/2023 7:12:34 AM,65,0,False,-2.47,150.0,438.0,338.98,322.7,0.0,30.02,-4.3,0.0,30.32639774190136,37.91215768061744,-7.58575993871608
7/24/2023 7:12:34 AM,66,0,False,-2.47,150.0,438.0,337.95,319.15,0.0,31.05,-7.85,0.0,32.02694178344227,37.91215768061744,-5.885215897175172
7/24/2023 7:12:34 AM,67,0,False,-2.47,150.0,438.0,337.21,315.89,0.0,31.79,-11.11,0.0,33.67545396872921,37.91215768061744,-4.236703711888232
7/24/2023 7:12:34 AM,68,0,False,-2.47,150.0,438.0,336.32,312.49,0.0,32.68,-14.51,0.0,35.75643298764573,37.91215768061744,-2.1557246929717095
7/24/2023 7:12:34 AM,69,0,False,-2.47,150.0,438.0,335.73,309.38,0.0,33.27,-17.62,0.0,37.64780604497426,37.91215768061744,-0.2643516356431803
7/24/2023 7:12:34 AM,70,0,False,-2.47,150.0,438.0,335.28,306.27,0.0,33.72,-20.73,0.0,39.58246202549811,37.91215768061744,1.6703043448806696
7/24/2023 7:12:34 AM,71,0,False,-2.47,150.0,438.0,334.99,303.16,0.0,34.02,-23.84,0.0,41.54161768636364,37.91215768061744,3.6294600057461963
7/24/2023 7:12:34 AM,72,0,False,-2.47,150.0,438.0,334.54,300.79,0.0,34.46,-26.21,0.0,43.294984697999375,37.91215768061744,5.382827017381935
7/24/2023 7:12:34 AM,73,0,False,-2.47,150.0,438.0,334.39,298.13,0.0,34.61,-28.87,0.0,45.07026736108851,37.91215768061744,7.158109680471071
7/24/2023 7:12:34 AM,74,0,False,-2.47,150.0,438.0,334.39,295.17,0.0,34.61,-31.83,0.0,47.02128241551904,37.91215768061744,9.109124734901599
7/24/2023 7:12:34 AM,75,0,False,-2.47,150.0,438.0,334.39,292.95,0.0,34.61,-34.05,0.0,48.551566401095656,37.91215768061744,10.639408720478215
7/24/2023 7:12:34 AM,76,0,False,-2.47,150.0,438.0,334.39,291.02,0.0,34.61,-35.98,0.0,49.92406734231497,37.91215768061744,12.01190966169753
7/24/2023 7:12:34 AM,77,0,False,-2.47,150.0,438.0,334.39,289.25,0.0,34.61,-37.75,0.0,51.21439836608452,37.91215768061744,13.302240685467076
7/24/2023 7:12:34 AM,78,0,False,-2.47,150.0,438.0,334.39,287.62,0.0,34.61,-39.38,0.0,52.42744033423719,37.91215768061744,14.51528265361975
7/24/2023 7:12:34 AM,79,0,False,-2.47,150.0,438.0,334.99,286.29,0.0,34.02,-40.71,0.0,53.053411765879865,37.91215768061744,15.141254085262425
7/24/2023 7:12:34 AM,80,0,False,-2.47,150.0,438.0,335.13,285.25,0.0,33.87,-41.75,0.0,53.76094679225804,37.91215768061744,15.848789111640599
7/24/2023 7:12:34 AM,81,0,False,-2.47,150.0,438.0,335.58,284.36,0.0,33.42,-42.64,0.0,54.176249408758444,37.91215768061744,16.264091728141004
7/24/2023 7:12:34 AM,82,0,False,-2.47,150.0,438.0,336.32,283.62,0.0,32.68,-43.38,0.0,54.31212387671836,37.91215768061744,16.39996619610092
7/24/2023 7:12:34 AM,83,0,False,-2.47,150.0,438.0,336.91,283.03,0.0,32.09,-43.97,0.0,54.43463052138776,37.91215768061744,16.52247284077032
7/24/2023 7:12:34 AM,84,0,False,-2.47,150.0,438.0,337.65,282.59,0.0,31.35,-44.41,0.0,54.36056107142383,37.91215768061744,16.44840339080639
7/24/2023 7:12:34 AM,85,0,False,-2.47,150.0,438.0,338.24,282.59,0.0,30.76,-44.41,0.0,54.022455516201774,37.91215768061744,16.110297835584333
7/24/2023 7:12:34 AM,86,0,False,-2.47,150.0,438.0,339.13,282.59,0.0,29.87,-44.41,0.0,53.52069693118728,37.91215768061744,15.60853925056984
7/24/2023 7:12:34 AM,87,0,False,-2.47,150.0,438.0,340.02,282.59,0.0,28.98,-44.41,0.0,53.02912878786526,37.91215768061744,15.11697110724782
7/24/2023 7:12:34 AM,88,0,False,-2.47,150.0,438.0,340.76,282.59,0.0,28.24,-44.41,0.0,52.62837352607431,37.91215768061744,14.716215845456873
7/24/2023 7:12:34 AM,89,0,False,-2.47,150.0,438.0,342.09,282.88,0.0,26.91,-44.12,0.0,51.67903346619401,37.91215768061744,13.766875785576566
7/24/2023 7:12:34 AM,90,0,False,-2.47,150.0,438.0,342.98,283.77,0.0,26.02,-43.23,0.0,50.456647728520366,37.91215768061744,12.544490047902926
7/24/2023 7:12:34 AM,91,0,False,-2.47,150.0,438.0,344.46,285.4,0.0,24.54,-41.6,0.0,48.29877431157027,37.91215768061744,10.38661663095283
7/24/2023 7:12:34 AM,92,0,False,-2.47,150.0,438.0,345.79,287.32,0.0,23.21,-39.68,0.0,45.96962584141838,37.91215768061744,8.057468160800937
7/24/2023 7:12:34 AM,93,0,False,-2.47,150.0,438.0,347.42,289.84,0.0,21.58,-37.16,0.0,42.97164181178094,37.91215768061744,5.059484131163501
7/24/2023 7:12:34 AM,94,0,False,-2.47,150.0,438.0,348.75,292.65,0.0,20.25,-34.35,0.0,39.8746159856117,37.91215768061744,1.9624583049942572
7/24/2023 7:12:34 AM,95,0,False,-2.47,150.0,438.0,350.23,296.2,0.0,18.77,-30.8,0.0,36.06872467942275,37.91215768061744,-1.8434330011946898
7/24/2023 7:12:34 AM,96,0,False,-2.47,150.0,438.0,351.41,300.05,0.0,17.59,-26.95,0.0,32.182457954606264,37.91215768061744,-5.729699726011177
7/24/2023 7:12:34 AM,97,0,False,-2.47,150.0,438.0,352.45,304.05,0.0,16.55,-22.95,0.0,28.294964216270003,37.91215768061744,-9.617193464347437
7/24/2023 7:12:34 AM,98,0,False,-2.47,150.0,438.0,353.19,308.19,0.0,15.81,-18.81,0.0,24.571776492553404,37.91215768061744,-13.340381188064036
7/24/2023 7:12:34 AM,99,0,False,-2.47,150.0,438.0,353.64,312.49,0.0,15.36,-14.51,0.0,21.129829625437115,37.91215768061744,-16.782328055180326
7/24/2023 7:12:34 AM,100,0,False,-2.47,150.0,438.0,354.08,316.93,0.0,14.92,-10.07,0.0,18.000313886152096,37.91215768061744,-19.911843794465344
7/24/2023 7:12:34 AM,101,0,False,-2.47,150.0,438.0,354.23,321.07,0.0,14.77,-5.93,0.0,15.915960542801052,37.91215768061744,-21.996197137816388
7/24/2023 7:12:34 AM,102,0,False,-2.47,150.0,438.0,354.52,325.51,0.0,14.48,-1.49,0.0,14.556459047446944,37.91215768061744,-23.355698633170498
7/24/2023 7:12:34 AM,103,0,False,-2.47,150.0,438.0,354.67,329.8,0.0,14.33,2.8,0.0,14.600989692483179,37.91215768061744,-23.31116798813426
7/24/2023 7:12:34 AM,104,0,False,-2.47,150.0,438.0,354.67,334.24,0.0,14.33,7.24,0.0,16.055108221373036,37.91215768061744,-21.857049459244404
7/24/2023 7:12:34 AM,105,0,False,-2.47,150.0,438.0,354.67,338.24,0.0,14.33,11.24,0.0,18.212262352601886,37.91215768061744,-19.699895328015554
7/24/2023 7:12:34 AM,106,0,False,-2.47,150.0,438.0,354.67,342.24,0.0,14.33,15.24,0.0,20.919046345376263,37.91215768061744,-16.993111335241178
7/24/2023 7:12:34 AM,107,0,False,-2.47,150.0,438.0,354.67,345.79,0.0,14.33,18.79,0.0,23.630763847154835,37.91215768061744,-14.281393833462605
7/24/2023 7:12:34 AM,108,0,False,-2.47,150.0,438.0,354.67,349.34,0.0,14.33,22.34,0.0,26.540996590181013,37.91215768061744,-11.371161090436427
7/24/2023 7:12:34 AM,109,0,False,-2.47,150.0,438.0,354.08,352.16,0.0,14.92,25.16,0.0,29.251188010062087,37.91215768061744,-8.660969670555353
7/24/2023 7:12:34 AM,110,0,False,-2.47,150.0,438.0,353.64,354.23,0.0,15.36,27.23,0.0,31.26343711110472,37.91215768061744,-6.648720569512719
7/24/2023 7:12:34 AM,111,0,False,-2.47,150.0,438.0,353.19,356.15,0.0,15.81,29.15,0.0,33.1614022622687,37.91215768061744,-4.750755418348739
7/24/2023 7:12:34 AM,112,0,False,-2.47,150.0,438.0,352.75,357.78,0.0,16.25,30.78,0.0,34.80619054133905,37.91215768061744,-3.105967139278391
